text,emotion
"ইংলিশে অর্নাস মাষ্টার্স করা লোকের আবার চাকরির অভাব হয়?হয়তবা বেশি বেতনের চাকরি পায় না।হয়তবা সরকারি চাকরি পায় না?টিওশনির ও অভাব হয় না বুঝলেন ভাই।শালার জতসব ফালতু কাহিনি??যা তা একটা কাহিনি হলেই হলো না?
",disgust
"ধুস শেষ টা বেকার !
",disgust
"আমিও তো অনেক Innocent
",none
"আমি কমেন্ট পরে আর নাটক দেখলাম না
",none
"নাটক দেখার মুড নষ্ট করে দেয় এরা । কেন লাস্ট এ এটা না করলে আর হতো
",disgust
"নাটক দেখার মুড নষ্ট করে দেয় এরা । কেন লাস্ট এ এটা না করলে আর হতো
",sad
"এই নাটক ভাল লাগে নাই।। কোন গল্প নাই কিছু। ভিন্ন কিছু নিয়ে আসতে পারে নাহ আমাদের পরিচালক।। মনজুড়ে নাটকটা অনেক বেস্ট ছিল
",disgust
"এই নাটক ভাল লাগে নাই।। কোন গল্প নাই কিছু। ভিন্ন কিছু নিয়ে আসতে পারে নাহ আমাদের পরিচালক।। মনজুড়ে নাটকটা অনেক বেস্ট ছিল
",sad
"অপূর্বের নাটক গুলো সব সময় অসাধরণ। সব নাটকে শিখার কিছু থাকে এই জন্য অপূর্বকে এতো ভালো লাগে।সমাজের বাস্তব দিক গুলো তুলে ধরতে চায় সে।
",joy
"পুরাই অস্থির
",joy
"টাকা নাই এত সুন্দর ফ্লাট এ থাকে ক্যা।
",surprise
"কেন শেষে মারা জেতে হল আজব ত
",surprise
"কেন শেষে মারা জেতে হল আজব ত
",sad
"বাংলাদেশ এর কিছু পরিচালক লাস্ট এ accident ছারা কিছু বোঝে না।।।
",disgust
"গাজাখোরী গল্প!!! ফাউল অভিনয়!!! গল্প আর খুজে পায় না নাকি!!! ফাজলামী যত্তোসব!!!
",anger
"সব গুলো কেমন যায় খুব সুন্দর
",joy
"এইসব নায়িকা চলবেনা। বাচ্চা ভাচ্চা ভাব। এম্নিতেই সাফার কথা বলা অন্য সব কিছুতেই ভাব বেশি
",disgust
"ফালতু কি একটু বুঝিয়ে বলবেন আপু
",disgust
"সব টিক আছি শেষে ভাল লাগল না???? মন খারাপ হয়ে গেছে।। কোন কারনে এই ছিন দিলে।।।
",sad
"শেষটা ভাল হয় নাই। বিরক্তিকর ছিল।
",disgust
"এইটা কি হলো নাটকের ভিতিরে ছবির গল্প ধুর মিয়া পাউল কাহিনী
",disgust
"এইটা কি হলো নাটকের ভিতিরে ছবির গল্প ধুর মিয়া পাউল কাহিনী
",sad
"ভালো লাগলো
",joy
"চমৎকার নাটক
",joy
"এইটায় অনেক কিছু শিখার আছে,, শিখলাম নাটকটা দেখে, ভালো লাগলো
",joy
"ফাউল নাটক
",disgust
"শেষ মুহূর্তে মরার সিন টা না আসলে আরো ভালো লাগত। দুজন এর বিয়ে মেনে নিত পরিবার।
",sad
"ছেলেটা কিনতুর মরার উচিত ছিল না
",sad
"apurbor সাথে মেয়েটিকে বাচচা মনে হয়।
",disgust
"দারুন গল্প
",joy
"এ রকম হবে শেষ টা কখনো ভাবি নাই । ভাল লাগছে নাটক টা।
",joy
"এ রকম হবে শেষ টা কখনো ভাবি নাই । ভাল লাগছে নাটক টা।
",surprise
"কি দরকার ছিলো লাষ্টে কাদানোর
",sad
"খোব ভালো লাগলো নাটক টা
",joy
"অপূর্ব সাফা কবির অনেক সুন্দর জুটি,,,
",joy
"হায় হায়, নাটকটা এভাবে শেষ হল কেন? খুব কষ্ট লাগল তো
",sad
"আজবতো ।।।। মরতেই হবে
",surprise
"KHAN হুম,,আমার ও ভালো লাগছে,,,,
",joy
"KHAN হুম,,আমার ও ভালো লাগছে,,,,
",joy
"দেখি কেমন লাগে
",none
"কেন যে এত মেকাফ দেয়,,অসাধারণ নাটক,,
",joy
"কেন যে এত মেকাফ দেয়,,অসাধারণ নাটক,,
",disgust
"অনেক ভাল ছিল নাটকটা
",joy
"অনেক ভাল ছিল নাটকটা
",joy
"Nahid Hassan হ্যাপি এন্ডিং দিলে মানুষ বেশিদিন মনে রাখেনা। তাই স্যাড এন্ডিং লাগে।
",none
"অসাধারণ একটা গল্প! অপূর্ব + মম আর অপূর্ব + মেহজাবিন এর পর এখন অপূব + সাফা আগামীর মেগা-হিট জুটি :)
",joy
"বুকের পাজরে উরে প্রজাপতি!! """"""
",none
"কিছু বলার নাই।এক কথায় অসাধারন।
",joy
"কী লিরিক্স রে শিরোনামহীন বলেই সম্ভব
",surprise
"আমার সবচাইতে প্রিয় একটা গান
",joy
"আবাল মানুষ কিভাবে এতো সুন্দর একটা গানে ডিসলাইকে দেয়??
",disgust
"জিয়া ভাই দয়া করে এই গানটার অন্তর্নিহিত অরথটা ব্যাখ্যা দিবেন plz plz plz
",none
"বুকের ভেতর ডানা ঝাপটায় পাখি বেপরুয়া
",none
"সেই কবে ছিল উচ্ছাস, কিছু শঙ্কায় ভরা চুম্বন ছিল প্রেমিকার ঘন নিশ্বাস, হাসিমুখে ফোয়ারা।
",joy
"আমি 2K18 তেও।
",none
"ডেইলি কম হলেও ১০ বার শুনি, নেশার মত হয়ে গেছে, ধন্যবাদ অর্ণব দা।
",joy
"২০১৮ তে কে কে শুনছেন?
",none
"২০১৮ তে কেউ শুনছো গানটা???
",none
"তোমার জন্যে নীল যে তারার একটু খানি আলো ভোরের রং রাতে মিশে গোলাপের সাদার মায়ায় মিশিয়ে দিয়ে ভাবি আবছা নীল তোমার লাগে ভালো ভাবনা আমার শিমুল ডালে লালযে আগুন জ্বালে মহুয়ার বনে মাতাল হওয়া খেলে এক মুঠো রোদ আকাশ ভরা তারা ভিজে মাটিতে জলের নকশা করা মন কে শুধু পাগল করে ঘিরে এতগুলো রাত অধীর হয়ে জেগে থাকা তোমায় ঘিরে আমার ভালো ভরা তারার আলোয় তোমায় দেখে দেখে ভালোবাসার পাখি মেলে মন ভোলানো
",none
"লাইফে এমন গান খুব কম শুনেছি,।হাজার বার শুনেও খারাপ লাগেনি
",joy
"অনেক দিন পর শুনলাম জোস একটা song
",joy
"still listening in 2017,,,,, অদ্ভুত মাদকতা গানটায়
",joy
"2017 এসেও এই গান টা কে কে শুনছেন? ♥♥
",joy
"এই গান যখন আসে আমি অনেক খোঁজাখুঁজি পরে 120টাকা দিয়ে আনছিলাম
",none
"Ethan Robin চলছে
",none
"তুমি কি বানাও দাদা এগুলা মাদকের মত কাজ করে তোমার এই গানগুলা। প্লিজ দাদা আবার ফিরে আস এন্ড আবার বানানো শুরু কর গান ।/।
",joy
"It was absolutely classical বার যে আমি ভিউয়ার আমি এই গান টার যা আমার মনেই পরে না। লিখার মত আরো অনেক কিছুই আছে কিন্তু লিখে সেস করতে পারব না ভলেই আর লেখা হলনা। তবে এটাই বলভ অরনব তুমি আমার স্রিতির মাঝেই লুকিয়ে থাকভে সারা জীবন।
",joy
"মন টা ভরে গেলো গান টা শুনে,,,,,,,,,,,,,,,,,,,,,,,,,,ধন্যবাদ অরনব
",joy
"প্রথম কলির পরে যে বায়লিন এর মায়াবি সুর,কি ভাবে সম্ভব?বিধাতার দান, পাগল হয়ে যাই।লাভ ইউ অর্ণব।
",joy
"অাপনি বেচে থাকবেন মানুষের ভাবনায়, এই কামনা করি
",none
"যারা দেয় অইগুলা সব সাবরিনা ন্যান্সির ফ্যান :P
",surprise
"যারা দেয় অইগুলা সব সাবরিনা ন্যান্সির ফ্যান :P
",disgust
"One plus 5T এর একটি রিভিউর আবেদন থাকল wait for
",none
"সাইড স্টেইনলেস স্টিল। এলুমিনিয়াম না :)
",none
"কেউ কি তোমাদের সামসাং গ্যালাক্সি নোট-৮ স্পনসর করে নাই? ওইটা নিয়া একটা ভিডিও বানাও প্লীজ।
",none
"কেউ কি তোমাদের সামসাং গ্যালাক্সি নোট-৮ স্পনসর করে নাই? ওইটা নিয়া একটা ভিডিও বানাও প্লীজ।
",none
"আমার রিভিও আরও ভালো ও ফানি র্ভাসন গুরে আসতে পারেন আমার চ্যানেল
",none
"5T এর একটা রিভিউ এবং X vs 5T কম্পেয়ার দেখতে চাই।
",none
"ভাই চাইনিজদের জন্ন্য এই কি কার্যকর হবে?
",none
"ঠাণ্ডায় iphone X kaj kore?
",none
"ধুর, আমি কাউরেই কিনতে দিমু না।।।।
",anger
"তাহলে স্যামসাং ই বেস্ট
",none
"সাইড স্টেইনলেস স্টিলে তৈরি, এলুমিনিয়ামে না।
",none
"ভাইয়া আমার একটা আচ্চা Android এর Developer option এ ""Logger buffer size"" এই Option টার কাজ কি।। আর এইটায় 256k দেয়া থাকে,আমি যদি 16M দেই তাহলে এটা কি হবে,,মানে,,, মুলত এটার কাজ কি
",none
"প্রিও তুষার ভাই ।।। অনেক দিন পর আপনার কন্ঠ শুনে খুব ভাল লাগছে
",joy
"ভাল লাগল,ধন্যবাদ তুষার ভাই,
",joy
"তুষার ভাই কে অনেক দিন পর দেখলাম ✌
",joy
"বড়োলোক্স + নো রিরেন = Iphone X ইউজার
",none
"ভাই কিনে ফেলুম।
",none
"বাম আর ডান কানে একটু ভুল বলসেন ভাই ;-)
",none
"আমাকে তালাশ টিম এর মেইন যে তার নামবার দিলে ভালো হবে
",none
"আলো ভালো কিছু দেখতে চাই
",none
"Prince Shawon mail করুন
",none
"আরে এই মানুষ গুলো (ছাখমা) আমাদের ভারতের ভিতরে শেষ সিমান্তে একটা জলা আছে নাম মিজোরাম আমি গিয়েছিলাম মেকানিকস হিসেবে ৭মাস ছিলাম ওখানে ভয়ংকর পরিসস্তি ওখানে,বাংলাদেশ বডার আলাকা এখন আমি ভিডিও টা দেখে আমার ওনেক স্রিতি মনে পরেছে। আল্লহা
",surprise
"ভাই আমি প্যারিস থেকে আপনাদেরকে ধন্যবাদ জানাই,মানুষের অজানা তথ্যদেওয়ার জন্য।।।।
",joy
"বাংলাদেশ সেনাবাহিনী তোমরা আমার ভাই,,, দেশটাকে দুর্নীতিমুক্ত করে দাও
",none
"ভাইয়া দয়া করে cigarette নিয়া যদি একটা epesode করতেন।
",none
"এগিয়ে যাও
",joy
"ভেরি নাইচ লাগচে ভায়া
",joy
"md badiu zzaman ওক
",none
"এই শালার কোটা আছে নাকি
",anger
"group টাকা নেবে? কেন? জ্বী না, world এ এইটা কোথাও নেই। facebook টাকা ad বিনিময়ে ad দেয়, সেটা ঠিক আছে, কারণ facebook আমাকে বিনামূল্যে ছবি রাখা সহ, অনেক সুবিধা দিচ্ছে। কিন্ত এইসব group গুলো ত আমাদের আস্থায় চলে, আমরা follow করি বিশ্বাস করে। কিন্ত তারা যদি টাকা নিয়েই post দেবে, তাইলে ক্রেতার স্বার্থ সংরক্ষিত হবে কি করে?
",disgust
"মাদারচোদের গ্রুপ থেকে আজকেই লিভ নিমু
",disgust
"রিভিউ দেখে খেতে যাওয়া ছেড়ে দিছি অনেক আগেই আর নেগেটিভ রিভিউ দেখলেই আগে পোষ্টকারীর আইডি চেক করে দেখি রিয়েল নাকি ফেইক আইডি।।।
",disgust
"ধন্যবাদ পলাশ ভাই আহা ফেসবুক আরও চাই
",joy
"হা হা মজা পাইলাম অাপনার কথা সুনে
",joy
"হায়রে হালার ব্যাপারে সরকারের জরুরী পদক্ষেপ নেওয়া উচিত।
",anger
"দন্যবাধ তালাশ টিম
",joy
"ভালোলাগলো অনেক।
",joy
"সত্য তুলে ধরার জন্য তালাশ কে অসখ্য ধন্যবাদ
",none
"ফুড ব্লগার্স একটা ভন্ড গ্রুপ জানতাম,কিন্তু সৌম্যের এতো সামনে থেকে ক্লোউজ ভিডিও কেমনে করেছেন?মানে ক্রিমিনালদের এতো সামনে থেকে আপনারা কোন ওয়েতে ভিডিও করেন?জানার ইচ্ছা খুব।
",surprise
"এমন একটা সতর্কতা মুলক অনুসন্ধান এর জন্যে মাঞ্জুরুল করিম ভাইকে অসংখ্য ধন্যবাদ। আপনার অনুসন্ধান এর পর্ব গুলো দেখার জন্যে অধীর আগ্রহে অপেক্ষায় থাকি। সম্প্রতি আমি আমার ওয়ালে আইপিএল লাইভ দিলে আইপিএল কর্তৃপক্ষ আমার আইডি রিপোর্ট করে বন্ধ করে দেয়। কিন্তু কেন? এর উত্তর টা আপনার কাছ থেকে জানার অপেক্ষায় থাকবো। আশা করি জানাবেন। বা পরবর্তী পর্বে তুলে ধরবেন যাতে কারো গুরুত্বপূর্ণ আইডি অসতর্কতাবশত বিলুপ্ত হয়ে না যায়। ধন্যবাদ ভাইয়া।
",none
"এগিয়ে জান
",none
"অনেক সুন্দর হয়েছে
",joy
"জানি ভাল হবে, আগে লাইক দিলাম All The Best Talash
",joy
"ভালো ছিল।
",joy
"কেমনে পারস ভাই এ রকম গান গাইতে/
",surprise
"১০০%ভুয়া
",anger
"আমার খোলা আকাশ তোমার অপেক্ষায় অনেক মেঘ বয়ে যায় আসবে তুমি আবার আমার মনের বারান্দায় তোমার সময় কেটে যায় আবার আসবে তুমি আমার ভালোলাগায় অনেক ইচ্ছে ঘুড়ি আকাশ পাঠাবো তোমার মনের আকাশে যেখানে গাইবে তুমি আনমনে। আমি আকাশ পাঠাবো তোমার মনের আকাশে খোলা মাঠে গাইবে গান বসন্তের বাতাসে। আমার রঙ্গিন বাতাস তোমার অপেক্ষায় অনেক স্মৃতি বয়ে যায় আসবে তুমি আবার আমার মনের বারান্দায় তোমার আলো বয়ে যায় আবার আসবে তুমি আমার ভালোলাগায় অনেক ইচ্ছে ঘুড়ি আকাশ পাঠাবো তোমার মনের আকাশে যেখানে গাইবে তুমি আনমনে। আমি আকাশ পাঠাবো তোমার মনের আকাশে খোলা মাঠে গাইবে গান বসন্তের বাতাসে।
",joy
"এক কথায়
",none
"আপনি নিজে আগে গাঞ্জা আর অটো টিউন দিয়ে এরকম একটা গান গেয়ে দেখান। তারপর কথা বইলেন।
",disgust
"মিনার লাভ
",joy
"লিজা লিজা kar kotha ex bf
",none
"চমত্কার গান ।।।।।।।।।।মিনার ভাই ।।।।।।।।।।।।।।শাওন
",joy
"এতটা ভালো লাগে ভাই তোমার গান গুলো,,,বলার ভাষা নাই।
",joy
"Love from একবার Tollywood এর জন্যেও গান গাইলে ভালো
",joy
"সুন্দর একটা গান,,,,,
",joy
"গানের কথাগুলো অসাধারণ।
",joy
"Hasan Mahmud, ধন্যবাদ
",joy
"Omar Faruk Bipon1993, ধন্যবাদ
",joy
"২কোটির ক্লাবে অগ্রীম স্বাগতম
",joy
"minar love u আর কত শুনবো এই গান যত শুনি ততই ভাল লাগে।
",joy
"ছুটির দিন ছিলো আজ।। আর তাই সারাদিন গানটা শুনলাম।। আমার মনে হয় সব মিলিয়ে পুরো দেড়শ বার হবে।। মিনার ভাই আপনাকে বেশী কিছু বলবোনা জাস্ট বলবো-- ভালোবাসি।
",joy
"কোনো সুস্থ মানুষের পক্ষে এমন সব অযৌক্তিক কথা সম্ভব না। জনাব নওফেল সাহেব এগুলো কী আওড়াচ্ছেন। গ্রাম্য ভাষায় এমন বক্তা কে বাদুড় বলে। তিনি যে গোঁয়ারতুমি করছেন তার বাবা দেখলেও হয়ত লজ্জিত হইতেন।
",anger
"কোনো সুস্থ মানুষের পক্ষে এমন সব অযৌক্তিক কথা সম্ভব না। জনাব নওফেল সাহেব এগুলো কী আওড়াচ্ছেন। গ্রাম্য ভাষায় এমন বক্তা কে বাদুড় বলে। তিনি যে গোঁয়ারতুমি করছেন তার বাবা দেখলেও হয়ত লজ্জিত হইতেন।
",disgust
"কোনো সুস্থ মানুষের পক্ষে এমন সব অযৌক্তিক কথা সম্ভব না। জনাব নওফেল সাহেব এগুলো কী আওড়াচ্ছেন। গ্রাম্য ভাষায় এমন বক্তা কে বাদুড় বলে। তিনি যে গোঁয়ারতুমি করছেন তার বাবা দেখলেও হয়ত লজ্জিত হইতেন।
",sad
"এই মাগির মাংগে এসিড মারা উচিত।চোদমারানি মাগি তুই দালালি করিস কেন?
",anger
"By নওফেল তোমার বাপের সম্মানের দিকে তাকাও তোমার বাবাকে মানুষ কত ভালোবাসে তার ঘরে তুমি মিথ্যাবাদী কোথা থেকে এলে এখনো সময় আছে ভাল হয়ে যাও ভাই
",disgust
"দিনের বেলায় কেন আমি টিয়ারশেলের গন্ধে হলে থাকতে পারিনি। নওফেল চোখে দেখেন না। বিকাল মেলায় আজিজ সুপার এর দোকানকাররা দোকান বন্ধ কেন করলো
",disgust
"নওফেল অযৌক্তিক
",disgust
"তারেকের কথা কেন বলেন তারেক তো একটা চোর
",disgust
"নওফেল নবনিতার মত কথা বলতেসে।
",surprise
"নওফিলকে জুতা মারো
",anger
"নওফিলকে জুতা মারো
",anger
"সুমি বর্তমান রেট কত?
",none
"কোথাই মেধাবী,কোথাই ব্যবসায়ী
",surprise
"এভদ্র লোককে মিডিয়াতে কেন এনেসেন,,এতো ভারতের পাচাটা গোলাম,,এতো মূর্খতাই পরি পূর্ন,,
",anger
"এভদ্র লোককে মিডিয়াতে কেন এনেসেন,,এতো ভারতের পাচাটা গোলাম,,এতো মূর্খতাই পরি পূর্ন,,
",disgust
"এভদ্র লোককে মিডিয়াতে কেন এনেসেন,,এতো ভারতের পাচাটা গোলাম,,এতো মূর্খতাই পরি পূর্ন,,
",sad
"টক শো এর সময় আরো বাড়ানো দরকার
",none
"আমার মনে হচ্ছে এটা সম্পৃর্ণ নাস্তিকদের কাজ।
",anger
"এই মাইয়াটারে এতো গুরুত্ব দেওয়ার কি আছে? কচুর যুক্তি দিচ্ছে আমার।
",disgust
"মাগীরে ধরে ঢক মতো ধোলায় করা দরকার।
",anger
"পৃথিবীতে আর কোন দেশ স্বাধীন হয় নাই। যুদ্ধ করছে বলে তার চৌদ্দ গুষ্টিকে সুবিধা দিতে হবে। কোথায় স্বাধীনতা ছাত্র দের উপরে হামলা। সংসদে মুন্ত্রী হচ্ছে ইনু।
",anger
"পৃথিবীতে আর কোন দেশ স্বাধীন হয় নাই। যুদ্ধ করছে বলে তার চৌদ্দ গুষ্টিকে সুবিধা দিতে হবে। কোথায় স্বাধীনতা ছাত্র দের উপরে হামলা। সংসদে মুন্ত্রী হচ্ছে ইনু।
",disgust
"আমি মনে করিজে বাংলাদেশে কোথা কোটা থাকবে না কার সবাই বাংলাদেশের মানুষ আমার বাবা মুক্তি যুদ্ধে করেনা তাই বলে কি আমি সরকারি চাকরি পাবে না মুক্তি যুদ্ধ জারা করেছে তাদের জনে 30 পারছেন তাঁর বাংলাদেশ টাকে তাঁর একদিন স্বাধীন করেছে আর আর জারা বিদেশে থাকে তাঁর বাংলাদেশ টাকে পতি দিন স্বাধীন করতেছে তাহলে কোটা থাকবে কেন
",none
"পরিচালক বলল সবাই সমান ভাবে কথা বলবে না। তাহলে টকশো কাকে বলে???? আজাইরা পরিচালক।
",disgust
"পহেলা বৈশাখ বাঙালীর ধনের জায়গা
",disgust
"আসিতেছে সুমি কায়সার কেন এত মোটা।
",disgust
"শমী কায়সার আলোচনায় না নিলোও হত
",none
"আমারা বাংলী জাতী এত খারাপ কেন আমি কেমেন্ট গুলি দেখলাম এখানে এত গালা গালী হচ্ছে কমেন্ট গুলি সব জগন্ন আমারা ভাল বাসায় কথা গুলি লিখতে পারি ,এক জন মুসলমান অন্য এক জন কে গালী দিতে পরেনা আল্লাহ কে ভয় করেন এক দিন মরতে হবে সবাইকে
",disgust
"jahangir alam আপনে কেমনে জানলেন
",surprise
"মুক্তিযোদ্ধা রা দেশ স্বাধীন করে ছিলেন নিঃস্বার্থ ভাবে, ভবিষ্যৎ প্রজন্মদের কোটা সুবিধার জন্য নয়
",none
"মাদার ছদ তুই একজন সাংবাদিক সুমি কাইসার এর কাসে তর সুন্তে হবে।।ফারুক কথা বলবে নাকি।।।সালা জানয়ার
",anger
"মাদার ছদ তুই একজন সাংবাদিক সুমি কাইসার এর কাসে তর সুন্তে হবে।।ফারুক কথা বলবে নাকি।।।সালা জানয়ার
",disgust
"চেলেদেরকে বলে মাগি বাজ সুমি কি . হিন্দুচোদা খাওয়া বাজ?
",anger
"উপস্থাপক রাজাকার
",disgust
"সুমী আপা হাহাহাহাহ
",joy
"সমি আওমী দালাল
",disgust
"আমি বুজিনা খালেদের মত একজন বিচক্ষণ সাংবাদিক স্বামী কায়সারের মত একজন নষ্ট মহিলাকে ভদ্র লোকের সাথে কথা বলার সুযোগ করে দেন
",disgust
"চেতনার সুজোগ নিয়েই শমিকায়ছারের মত অনেকেই বি- ভীআইপি দের সুজোগ ভোগ করতাছে লজ্জা থাকা উচিৎ
",anger
"চেতনার সুজোগ নিয়েই শমিকায়ছারের মত অনেকেই বি- ভীআইপি দের সুজোগ ভোগ করতাছে লজ্জা থাকা উচিৎ
",disgust
"দশ বছর পর মুক্তি যুদ্ধা প্রায় দশ কোটি মনে হয় এমন হবে,
",surprise
"dan veer coudhury 25 মার্চ কাল রাতে যা ঘঠেছে তা ইতিহাসের এক ঘৃন্য ঘঠনা । যাদের কে হত্যা করা হয়েছে তারা শহীদ এতে কোন সন্দেহ নেই । প্রশ্ন টা এখানে যে বুদ্ধিজীবিরা যুদ্ধের সময় কি করছিল , কোথায় ছিল , স্বাধীনতার পক্ষে তারা কি কাজ করেছিল দয়া করে আপনি ব্যাক্ষা দিবেন !!!!
",surprise
"জুনায়েত সাকি রাইট
",none
"সমি কায়সার মাগির ভোদায় বেগুন ডুকানো দরকার
",anger
"আর মেয়ে পেলেন খালেক,ভাই।
",surprise
"মারানী খান্কি শামি বাল,,,
",anger
"Foyej Ahmed তোর মায় মাগি
",anger
"আওয়ামী লীগের ডিজিটাল চুরি জনগণ সবই বুঝতে পারছে।তাই সামনের দিকে এদের কে জুতার মালা পরিয়ে সারা দেশে গুরানো হবে ।
",anger
"এখন দেশের শতকরা ৯০% মানুষ সচেতন। জনগনের ভোটের অধিকার কি জনগন পাবে।
",none
"বাইয়া আপনার নত লুক আমাদের দরকার দ্নবাদ
",none
"যে চোরকে সাথে থাকে সে চোর
",disgust
"Somrat44 ভাই আমি তো নেতা নয় আমি সাধারন মানুষ
",none
"চিনি চুরি পুলার মুখে এই কথা গুলো মানায়না
",anger
"ভাই আপনাকে একটা কথা বলতে চাই আপনি বি এন পি বা আওয়ামীলীগের না দেশের নেতা ।
",none
"ভাই আপনাকে অনেক ধন্যবাদ
",joy
"আপনি বললেন নোট ৫ কে নোট ৫ প্রো নামে চালিয়ে দিছে,আচ্ছা নোট ৫ এ কি ডুয়েল ক্যামেরা আছে?ক্যামেরা মেগাপিক্সেল কি সেইম?ব্যাটারি এমএএইচ কি এক??স্ন্যাপড্রাগন প্রসেসর পয়েন্ট কি সেইম??নোট ৫ আর ৫+ টা ডিসপ্লে ছাড়া প্রায় একই।বাট নোট ৫ এবং নোট ৫ প্রো মোটেই একই ডিভাইস নয়
",anger
"আপনি বললেন নোট ৫ কে নোট ৫ প্রো নামে চালিয়ে দিছে,আচ্ছা নোট ৫ এ কি ডুয়েল ক্যামেরা আছে?ক্যামেরা মেগাপিক্সেল কি সেইম?ব্যাটারি এমএএইচ কি এক??স্ন্যাপড্রাগন প্রসেসর পয়েন্ট কি সেইম??নোট ৫ আর ৫+ টা ডিসপ্লে ছাড়া প্রায় একই।বাট নোট ৫ এবং নোট ৫ প্রো মোটেই একই ডিভাইস নয়
",anger
"আপনি বললেন নোট ৫ কে নোট ৫ প্রো নামে চালিয়ে দিছে,আচ্ছা নোট ৫ এ কি ডুয়েল ক্যামেরা আছে?ক্যামেরা মেগাপিক্সেল কি সেইম?ব্যাটারি এমএএইচ কি এক??স্ন্যাপড্রাগন প্রসেসর পয়েন্ট কি সেইম??নোট ৫ আর ৫+ টা ডিসপ্লে ছাড়া প্রায় একই।বাট নোট ৫ এবং নোট ৫ প্রো মোটেই একই ডিভাইস নয়
",disgust
"ভাই কতো টাকা
",none
"ভাই nokia 7 plus এর রিভিউ দিলে খুব উপকৃত হতাম
",none
"রিভিউটি অসাধারণ হয়েছে
",joy
"আপনারা যে কার গেম গুলা দেখান। নাম কি আর ডাউনলোড
",none
"ভ্রাতারা! নোকিয়া ৬ এর একটা ডিটেল ভিডিও দেন না!
",none
"নোট ৮ এর রিভিউ দেওয়া যায় কি???? আমি নোট ৮ কিনবো
",none
"মিনিটে ডিসপ্লে যে ওয়াল পেপার টা ইউস করা ডাউনলোড লিংক দেওয়া যাবে??? ধন্যবাদ :)
",none
"বাংলাদেশ এখন মাগিদের দেশ হয়েগেছে
",disgust
"বুয়া কথা
",disgust
"আইন চিনকলা বাহিনি মদ্দদাতা এই সব কাজ না চলে পুলিশের পকেট কি ভাবে বরবে। আমার এই অবিযোগ শুধু কিছু কিছু পুলিশ হেমারের কারনে আরব দেশে পুলিশ পুরা খমতা নিয়ে ছলে।
",disgust
"আমাদের দেশের সরকার কি অনদ
",disgust
"সবার আগে ভিডিও পেতে সাবসক্রাইব করে নটিফিকেশনে ক্লিক করুনঃ Subscribe : :
",none
"তারেক কেন ভয়
",none
"আরে পাগলের বাচ্চার,তারেক আসলে তোদের সবাইকে ভারতের নাগরিক বানাবো
",anger
"কুতালীগের আর কোনু কাজ নাই হের মুখে জুতা মার দর কার এক দিন হের বিচার হবে মাংলা মাটিতে
",anger
"সত্ত কোন দিন মিথ্যা হয়না কুত্তালিগ ধভবংস হবে
",anger
"কুত্তা লিগের আর কোন কাজ কাম তাই এখন আবার নতুন করে তারেকের পাসপোর্ট নিয়ে বিতর্ক শুরু
",anger
"কুত্তা লিগের আর কোন কাজ কাম তাই এখন আবার নতুন করে তারেকের পাসপোর্ট নিয়ে বিতর্ক শুরু
",disgust
"আমরা student রা সবাই চাই 50 ta mcq এবং 5 ta সৃজনশীল।
",none
